value,label,result,message
TN,ham,ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
TN,ham,ham,I wish u were here. I feel so alone
TP,spam,spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs
TN,ham,ham,Reason is if the team budget is available at last they buy the unsold players for at base rate..
TN,ham,ham,CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES
FP,spam,ham,ringtoneking 84484
TN,ham,ham,Huh i cant thk of more oredi how many pages do we have?
TN,ham,ham,His frens go then he in lor. Not alone wif my mum n sis lor.
TN,ham,ham,Nationwide auto centre (or something like that) on Newport road. I liked them there
TN,ham,ham,"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly"
TN,ham,ham,"Whatever, juliana. Do whatever you want."
TN,ham,ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
TP,spam,spam,Ringtone Club: Gr8 new polys direct to your mobile every week !
TN,ham,ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
TN,ham,ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...
TP,spam,spam,(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..
TN,ham,ham,I am on the way to ur home
TN,ham,ham,"Dizzamn, aight I'll ask my suitemates when I get back"
TN,ham,ham,"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word"
TN,ham,ham,I love to cuddle! I want to hold you in my strong arms right now...
TN,ham,ham,R u in this continent?
TN,ham,ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult
TP,spam,spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!
TP,spam,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs
TN,ham,ham,K...k...when will you give treat?
TP,spam,spam,"This is the 2nd time we have tried to contact u. U have won the �400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
TN,ham,ham,He's just gonna worry for nothing. And he won't give you money its no use.
TN,ham,ham,Did you get any gift? This year i didnt get anything. So bad
TN,ham,ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams
TN,ham,ham,Well there's a pattern emerging of my friends telling me to drive up and come smoke with them and then telling me that I'm a weed fiend/make them smoke too much/impede their doing other things so you see how I'm hesitant
TN,ham,ham,", ow u dey.i paid 60,400thousad.i told  u would call . "
TN,ham,ham,IM FINE BABES AINT BEEN UP 2 MUCH THO! SAW SCARY MOVIE YEST ITS QUITE FUNNY! WANT 2MRW AFTERNOON? AT TOWN OR MALL OR SUMTHIN?xx
TN,ham,ham,I'm reaching home in 5 min.
TN,ham,ham,"Forgot you were working today! Wanna chat, but things are ok so drop me a text when you're free / bored etc and i'll ring. Hope all is well, nose essay and all xx"
TN,ham,ham,Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
TP,spam,spam,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text"
TP,spam,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!
TN,ham,ham,Discussed with your mother ah?
TN,ham,ham,Ok.
TN,ham,ham,"Sorry, I can't text &amp; drive coherently, see you in twenty"
TP,spam,spam,You will be receiving this week's Triple Echo ringtone shortly. Enjoy it!
TN,ham,ham,In which place i can get rooms cheap:-)
TN,ham,ham,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.
TN,ham,ham,"\GRAN ONLYFOUND OUT AFEW DAYS AGO.CUSOON HONI\"""""
TP,spam,spam,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at �350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
TN,ham,ham,University of southern california.
TN,ham,ham,We have to pick rayan macleran there.
TN,ham,ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
TN,ham,ham,Well. Balls. Time to make calls
TN,ham,ham,Wat time �_ wan today?
TN,ham,ham,&lt;#&gt;  in mca. But not conform.
TN,ham,ham,Oh ok.. Wat's ur email?
TN,ham,ham,"Yes, princess. Are you going to make me moan?"
TN,ham,ham,Lol its ok I didn't remember til last nite
TN,ham,ham,"[��_] anyway, many good evenings to u! s"
TN,ham,ham,"Cool, I'll text you in a few"
TN,ham,ham,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds.."
TN,ham,ham,I'm very happy for you babe ! Woo hoo party on dude!
TN,ham,ham,I am taking you for italian food. How about a pretty dress with no panties? :)
TN,ham,ham,Wot u up 2? Thout u were gonna call me!! Txt bak luv K
TP,spam,spam,YOU ARE CHOSEN TO RECEIVE A �350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
TN,ham,ham,How are you holding up?
TN,ham,ham,Dont flatter yourself... Tell that man of mine two pints of carlin in ten minutes please....
TN,ham,ham,Hope you are not scared!
TN,ham,ham,I cant pick the phone right now. Pls send a message
TN,ham,ham,I'm at home n ready...
TP,spam,spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed �1000 cash or �5000 prize!
TN,ham,ham,What time do u get out?
TN,ham,ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
TN,ham,ham,"Yes, my reg is  Ciao!"
TN,ham,ham,If You mean the website. Yes.
TP,spam,spam,Win a �1000 cash prize or a prize worth �5000
TP,spam,spam,"Thanks for your ringtone order, reference number X49.Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182"
TN,ham,ham,Lol or I could just starve and lose a pound by the end of the day.
TN,ham,ham,Yeah that's the impression I got
TN,ham,ham,Ok ok take care. I can understand.
TN,ham,ham,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL"
TN,ham,ham,"Ya ok, then had dinner?"
TN,ham,ham,I was slept that time.you there?
TN,ham,ham,dont make ne plans for nxt wknd coz she wants us to come down then ok
TN,ham,ham,When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
TN,ham,ham,"Ha ha nan yalrigu heltini..Iyo kothi chikku, u shared many things wit me..so far i didn't told any body and even uttered a word abt u.. If ur trusting me so much how can i tell these to others.. Plz nxt time dont use those words to me..ok, chikku:-);-)B-)"
TN,ham,ham,Noice. Text me when you're here
TN,ham,ham,Hi di is yijue we're meeting at 7 pm at esaplanade tonight.
TP,spam,spam,Moby Pub Quiz.Win a �100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP �1.50 008704050406 SP
TP,spam,spam,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only �1.50/week. SavaMob - offers mobile!"
TN,ham,ham,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was"
TN,ham,ham,Hi dear we saw dear. We both are happy. Where you my battery is low
TN,ham,ham,How are you. Its been ages. How's abj
TN,ham,ham,Prof: you have passed in all the papers in this sem congrats . . . . Student: Enna kalaachutaarama..!! Prof:???? Gud mrng!
TN,ham,ham,Dont kick coco when he's down
TN,ham,ham,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit
TP,spam,spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 "
FP,spam,ham,TBS/PERSOLVO. been chasing us since Sept for�38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
TN,ham,ham,Hope you��re not having too much fun without me!! see u tomorrow love jess x
TN,ham,ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
TN,ham,ham,I've reached home n i bathe liao... U can call me now...
TP,spam,spam,Loans for any purpose even if you have Bad Credit! Tenants Welcome. Call NoWorriesLoans.com on 08717111821
TN,ham,ham,Was the actual exam harder than NBME
TN,ham,ham,A lot of this sickness thing going round. Take it easy. Hope u feel better soon. Lol
TN,ham,ham,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
TP,spam,spam,87077: Kick off a new season with 2wks FREE goals & news to ur mobile! Txt ur club name to 87077 eg VILLA to 87077
TN,ham,ham,Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
TN,ham,ham,Gam gone after outstanding innings.
TN,ham,ham,O i played smash bros  &lt;#&gt;  religiously.
TN,ham,ham,"Sir, good morning. Hope you had a good weekend. I called to let you know that i was able to raise  &lt;#&gt;  from my dad. He however said he would make the rest available by mid feb. This amount is still quite short and i was hoping you would help. Do have a good day. Abiola"
TN,ham,ham,Hurry home. Soup is DONE!
TN,ham,ham,No no. I will check all rooms befor activities
TN,ham,ham,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
TN,ham,ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...
TP,spam,spam,"Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP."
TN,ham,ham,Lemme know when you're here
TP,spam,spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
TN,ham,ham,He needs to stop going to bed and make with the fucking dealing
TN,ham,ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
TP,spam,spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now
TN,ham,ham,"Hey doc pls I want to get nice t shirt for my hubby nice fiting ones my budget is  &lt;#&gt; k help pls I will load d card abi hw,keep me posted luv. 2 mj"
TN,ham,ham,I remain unconvinced that this isn't an elaborate test of my willpower
TN,ham,ham,"\Life is nothing wen v get everything\"". But \""life is everything wen v miss something \"". Real value of people wil be realized only in their absence.... gud mrng"""
TN,ham,ham,how are you? I miss you!
TN,ham,ham,I ain't answerin no phone at what is actually a pretty reasonable hour but I'm sleepy
TN,ham,ham,"Hey , is * rite u put ��10 evey mnth is that all?"
TN,ham,ham,i am going to bed now prin
TN,ham,ham,I think just yourself ��_Thanks and see you tomo
TN,ham,ham,If u dun drive then how i go 2 sch.
TN,ham,ham,I not at home now lei...
TP,spam,spam,GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@�1.50rcvd
TN,ham,ham,Ok then i will come to ur home after half an hour
TP,spam,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
TN,ham,ham,Do u hav any frnd by name ashwini in ur college?
TN,ham,ham,Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...
TN,ham,ham,K then 2marrow are you coming to class.
TP,spam,spam,"HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
TN,ham,ham,Pls send me your address sir.
TN,ham,ham,I want to lick your pussy now...
TN,ham,ham,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack"
TP,spam,spam,URGENT! Your Mobile number has been awarded a <UKP>2000 prize GUARANTEED. Call 09061790125 from landline. Claim 3030. Valid 12hrs only 150ppm
TN,ham,ham,"I'll see, but prolly yeah"
TN,ham,ham,Thought we could go out for dinner. I'll treat you! Seem ok?
TN,ham,ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?
TN,ham,ham,Sorry. You never hear unless you book it. One was kinda a joke--thet were really looking for skinny white girls. The other was one line--you can only do so much on camera with that. Something like that they're casting on the look.
TN,ham,ham,What you doing?how are you?
TN,ham,ham,"Sure thing big man. i have hockey elections at 6, shouldn���t go on longer than an hour though"
TN,ham,ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...
TN,ham,ham,Hiya do u like the hlday pics looked horrible in them so took mo out! Hows the camp Amrca thing? Speak soon Serena:)
TN,ham,ham,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
TN,ham,ham,Yunny... I'm goin to be late
TN,ham,ham,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later
TN,ham,ham,"Cool, want me to go to kappa or should I meet you outside mu"
TN,ham,ham,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe"
TN,ham,ham,May b approve panalam...but it should have more posts..
TP,spam,spam,"SPJanuary Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
TN,ham,ham,"Sorry, I'll call later"
TN,ham,ham,I dont thnk its a wrong calling between us
TN,ham,ham,Me i'm not workin. Once i get job...
TN,ham,ham,And by when you're done I mean now
TN,ham,ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
TN,ham,ham,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx
TP,spam,spam,FreeMsg Today's the day if you are ready! I'm horny & live in your town. I love sex fun & games! Netcollex Ltd 08700621170150p per msg reply Stop to end
TN,ham,ham,Is it your yahoo boys that bring in the perf? Or legal.
TN,ham,ham,No need to say anything to me. I know i am an outsider
TN,ham,ham,have you ever had one foot before?
TN,ham,ham,Just got to  &lt;#&gt;
TN,ham,ham,"Good! No, don���t need any receipts���well done! (��_) Yes, please tell . What���s her number, i could ring her"
TN,ham,ham,"Ever green quote ever told by Jerry in cartoon \A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It...!..!! :-) :-) gud nyt"""
TN,ham,ham,Leave it wif me lar... �� wan to carry meh so heavy... Is da num 98321561 familiar to �_?
TN,ham,ham,Beautiful truth : Expression of the face could Be seen by everyone... But the depression of heart Could be understood only By the Loved ones.. Gud Ni8;-)
TN,ham,ham,Infact happy new year. How are you where are you when are we seeing
FP,spam,ham,"In The Simpsons Movie released in July 2007 name the band that died at the start of the film? A-Green Day, B-Blue Day, C-Red Day. (Send A, B or C)"
TN,ham,ham,That's a shame! Maybe cld meet for few hrs tomo?
TN,ham,ham,Lol I would but despite these cramps I like being a girl.
TN,ham,ham,I can��t wait for cornwall. Hope tonight isn��t too bad as well but it��s rock night shite. Anyway i��m going for a kip now have a good night. Speak to you soon.
TN,ham,ham,Pls help me tell sura that i'm expecting a battery from hont. And that if should pls send me a message about how to download movies. Thanks
TP,spam,spam,Please call Amanda with regard to renewing or upgrading your current T-Mobile handset free of charge. Offer ends today. Tel 0845 021 3680 subject to T's and C's
TN,ham,ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
TN,ham,ham,I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
TN,ham,ham,�� comin to fetch us oredi...
TN,ham,ham,What's nannys address?
TP,spam,spam,"URGENT!! Your 4* Costa Del Sol Holiday or �5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost�1.50/pm, Max10mins"
TN,ham,ham,Haf u eaten? Wat time u wan me 2 come?
TP,spam,spam,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
TN,ham,ham,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order"
TN,ham,ham,This single single answers are we fighting? Plus i said am broke and you didnt reply
TN,ham,ham,It certainly puts things into perspective when something like this happens
TN,ham,ham,Now got tv 2 watch meh? U no work today?
TN,ham,ham,i felt so...not any conveying reason.. Ese he... What about me?
TP,spam,spam,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
TN,ham,ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
TN,ham,ham,I told that am coming on wednesday.
TN,ham,ham,"Its ok, called mom instead have fun"
TP,spam,spam,"Dear Voucher Holder, To claim this weeks offer, at your PC please go to http://www.wtlp.co.uk/text. Ts&Cs apply."
TN,ham,ham,Well if I'm that desperate I'll just call armand again
TN,ham,ham,Are you at work right now ?
TP,spam,spam,Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX
TN,ham,ham,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
TN,ham,ham,"Mmmmmm ... I love you,so much, Ahmad ... I can't wait for this year to begin as every second takes me closer to being at your side. Happy New Year, my love!!"
TN,ham,ham,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back
TN,ham,ham,"Sorry, I'll call later"
TN,ham,ham,Ok... But they said i've got wisdom teeth hidden inside n mayb need 2 remove.
TN,ham,ham,And pls pls drink plenty plenty water
TN,ham,ham,How are you doing. How's the queen. Are you going for the royal wedding
TN,ham,ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
TN,ham,ham,Ok lor then we go tog lor...
TN,ham,ham,Two teams waiting for some players
TN,ham,ham,Can �_ send me a copy of da report?
TN,ham,ham,"swhrt how u dey,hope ur ok, tot about u 2day.love n miss.take care."
TN,ham,ham,"Ok da, i already planned. I wil pick you."
TP,spam,spam,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or �10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
TN,ham,ham,"Sorry, I'll call later in meeting"
TN,ham,ham,I just really need shit before tomorrow and I know you won't be awake before like 6
TN,ham,ham,I'm good. Have you registered to vote?
TN,ham,ham,"Hmm ok, i'll stay for like an hour cos my eye is really sore!"
TN,ham,ham,Dear got bus directly to calicut
TN,ham,ham,Mm umma ask vava also to come tell him can play later together
TN,ham,ham,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
TN,ham,ham,"Sorry, I'll call later"
TN,ham,ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning"
TN,ham,ham,&lt;#&gt;  w jetton ave if you forgot
TN,ham,ham,Ok i'm coming home now.
TN,ham,ham,Can not use foreign stamps in this country.
TP,spam,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
TN,ham,ham,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
TP,spam,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
TP,spam,spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
TP,spam,spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost �1.50. 2 cancel send STOP"
TN,ham,ham,I will come tomorrow di
TN,ham,ham,Wylie update: my weed dealer carlos went to freedom and had a class with lunsford
TN,ham,ham,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
TN,ham,ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot �_ not interested.
TN,ham,ham,How are you enjoying this semester? Take care brother.
TP,spam,spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
TN,ham,ham,"Get the door, I'm here"
TN,ham,ham,"Lets use it next week, princess :)"
TN,ham,ham,Or i go home first lar �_ wait 4 me lor.. I put down my stuff first..
TN,ham,ham,I want kfc its Tuesday. Only buy 2 meals ONLY 2. No gravy. Only 2 Mark. 2!
TN,ham,ham,No da:)he is stupid da..always sending like this:)don believe any of those message.pandy is a mental:)
TN,ham,ham,Oi when you gonna ring
FP,spam,ham,Missed call alert. These numbers called but left no message. 07008009200
TN,ham,ham,I attended but nothing is there.
TN,ham,ham,Ard 530 like dat lor. We juz meet in mrt station then �_ dun haf to come out.
TN,ham,ham,No dear i was sleeping :-P
TN,ham,ham,Er mw im filled tuth is aight
TN,ham,ham,Will be office around 4 pm. Now i am going hospital.
TN,ham,ham,Actually i'm waiting for 2 weeks when they start putting ad.
TN,ham,ham,Anything lor if they all go then i go lor...
TN,ham,ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
TN,ham,ham,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
TN,ham,ham,Yo you around? A friend of mine's lookin to pick up later tonight
TN,ham,ham,Stupid auto correct on my phone
TN,ham,ham,Double eviction this week - Spiral and Michael and good riddance to them!
TN,ham,ham,"\The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!\"""
